part_num,name,part_cat_id,part_material
10077546,Sticker Sheet for Set 76401-1,58,Plastic
10077547,Sticker Sheet for Set 76402-1,58,Plastic
10077559,Sticker Sheet for Set 76408-1,58,Plastic
10077560,Sticker Sheet for Set 76403-1,58,Plastic
10077587,Sticker Sheet for Set 76406-1,58,Plastic
10077931,Sticker Sheet for Set 76407-1,58,Plastic
10078254,Sticker Sheet for Set 76989-1,58,Plastic
10080233,Sticker Sheet for Set 42144-1,58,Plastic
100808,"Curtain, Carwash, Strips",77,Plastic
100809,Duplo Skirt with Bright Light Top Skirt,4,Cloth
100811c01pr0001,"Minidoll Torso with Left Limb Reduction with Dark Turquoise Swimming Suit, Coral Zipper print, Light Nougat Arms and Hand",63,Plastic
100811c01pr0002,"Minidoll Torso with Left Limb Reduction with Dark Turquoise Jacket, Dark Blue Shirt, Bright Light Yellow Triangles print, Light Nougat Arm and Hand",63,Plastic
100811c01pr0003,"Minidoll Torso with Left Limb Reduction with Sand Green/Dark Green Christmas Sweater, Light Nougat Arms and Hand",63,Plastic
100811c01pr0004,"Minidoll Torso with Left Limb Reduction with Bright Pink Top, Sunflowers, Dark Red Necklace print, Light Nougat Arms and Hand",63,Plastic
100811c01pr0005,"Minidoll Torso with Orange Tent, Dark Blue Trees, Dark Turquoise Sky, Ground print, Left Limb Reduction, Light Nougat Arms and Hand",63,Plastic
100811c01pr0006,"Minidoll Torso with Left Limb Reduction with Bright Pink Jacket, White Zipper, Flowers, Yellow Shirt print",63,Plastic
100811c01pr0007,"Minidoll Torso with Left Limb Reduction, Light Nougat Arms and Hand with Black/Yellow Striped Top (Bee) print",63,Plastic
100811c01pr0008,"Minidoll Torso with Left Limb Reduction with Light Nougat Arms and Hand with Bright Green Shirt, Reindeer with Santa Hat print",63,Plastic
100811c01pr0009,"Minidoll Torso with Left Limb Reduction, Light Nougat Arms and Hand with Blue/Bright Light Blue Plaid Shirt print",63,Plastic
100811c01pr0010,"Minidoll Torso with Left Limb Reduction, Light Nougat Arms and Hand with Lavender Dress, Yellowish Green Straps, Belt print",63,Plastic
100811c01pr0465,"Minidoll Torso with Left Limb Reduction with Dark Green Shirt, Gold Mushrooms print, Light Nougat Arms and Hand",63,Plastic
100811c01pr0476,"Minidoll Torso with Left Limb Reduction with Sand Green Shirt, Flower, Ladybug, White Shirt, Coral Trim print, Light Nougat Arms and Hand",63,Plastic
